rank,name,lon,lat,money,useless
1,广东,23.16667,113.23333,124369.67,2021年增速为8%
2,江苏,32.05,119.78333,116364.2,2021年增速为8.6%
3,山东,36.675807,117.000923,83095.9,2021年增速为8.3%
4,浙江,30.26667,120.2,73516,2021年增速为8.5%
5,河南,34.76667,113.65,58887.41,2021年增速为6.3%
6,四川,30.66667,104.06667,53850.79,2021年增速为8.2%
7,湖北,30.584355,114.298572,50012.94,2021年增速为12.9%
8,福建,26.08333,118.3,48810.36,2021年增速为8%
9,湖南,28.21667,113,46063.09,2021年增速为7.7%
10,上海,31.2,121.55333,43214.85,2021年增速为8.1%
11,安徽,31.86119,117.283042,42959.2,2021年增速为8.3%
12,河北,38.03333,115.48333,40391.3,2021年增速为6.5%
13,北京,39.91667,116.41667,40269.6,2021年增速为8.5%
14,陕西,34.26667,108.95,29800.98,2021年增速为6.5%
15,江西,28.68333,115.9,29619.7,2021年增速为8.8%
16,重庆,29.56667,106.45,27894.02,2021年增速为8.3%
17,辽宁,41.8,123.38333,27584.1,2021年增速为5.8%
18,云南,25.05,102.73333,27146.76,2021年增速为7.3%
19,广西,22.82402,108.320004,24740.86,2021年增速为7.5%
20,山西,37.86667,112.53333,22590.16,2021年增速为9.1%
21,内蒙古,41.818311,111.670801,20514.2,2021年增速为6.3%
22,贵州,26.56667,106.71667,19586.42,2021年增速为8.1%
23,新疆,43.76667,87.68333,15983.65,2021年增速为7%
24,天津,39.13333,117.2,15695.05,2021年增速为6.6%
25,黑龙江,47.75,127.63333,14879.2,2021年增速为6.1%
26,吉林,43.88333,125.35,13235.52,2021年增速为6.6%
27,甘肃,36.03333,103.73333,10243.3,2021年增速为6.9%
28,海南,20.01667,110.35,6475.2,2021年增速为11.2%
29,宁夏,37.46667,106.26667,4522.31,2021年增速为6.7%
30,青海,36.56667,96.75,3346.63,2021年增速为5.7%
31,西藏,30.6,91,2080.17,2021年增速为6.7%。
